B01_06_AV,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,%MD3.7280,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_06_AVR,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,REAL,%MD3.7276,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_06_AVR,POE\DPTagVar\DPTagVar.STB,,320,0,写,:=,REAL,%MD3.7276,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,,
B01_06_AVR,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,%MD3.7276,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_06_BF,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,BOOL,%MX3.8679.6,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_06_BF,POE\DPTagVar\DPTagVar.STB,,319,0,读,,BOOL,%MX3.8679.6,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,,
B01_06_BF,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,%MX3.8679.6,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_06_CST,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,WORD,%MW3.8324,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_06_CST,POE\DPTagVar\DPTagVar.STB,,320,0,写,:=,WORD,%MW3.8324,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,,
B01_06_CST,POE\DPTagVar\DPTagVarV.VB,,,,,,WORD,%MW3.8324,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_06_FAI,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,REAL,%MD3.7272,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_06_FAI,POE\DPTagVar\DPTagVar.STB,,319,0,读,,REAL,%MD3.7272,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,,
B01_06_FAI,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,%MD3.7272,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_06_MS,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,BOOL,%MX3.8680.0,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_06_MS,POE\DPTagVar\DPTagVar.STB,,320,0,写,:=,BOOL,%MX3.8680.0,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,,
B01_06_MS,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,%MX3.8680.0,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_06_Q,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,BOOL,%MX3.8679.7,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_06_Q,POE\DPTagVar\DPTagVar.STB,,320,0,写,:=,BOOL,%MX3.8679.7,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,,
B01_06_Q,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,%MX3.8679.7,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_06_QTYP,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,BYTE,%MB3.8570,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_06_QTYP,POE\DPTagVar\DPTagVar.STB,,320,0,写,:=,BYTE,%MB3.8570,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,,
B01_06_QTYP,POE\DPTagVar\DPTagVarV.VB,,,,,,BYTE,%MB3.8570,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,REAL,%ID484,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,工艺管出口温度（0S3-1S3插座） Outlet temp. of process tube(,
B01_07,POE\DPTagVar\DPTagVar.STB,,325,0,读,,REAL,%ID484,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,工艺管出口温度（0S3-1S3插座） Outlet temp. of process tube(,
B01_07,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,%ID484,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,工艺管出口温度（0S3-1S3插座） Outlet temp. of process tube(,
B01_07_AV,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,REAL,%MD3.7304,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07_AV,POE\DPTagVar\DPTagVar.STB,,326,0,写,:=,REAL,%MD3.7304,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,,
B01_07_AV,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,%MD3.7304,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07_AVR,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,REAL,%MD3.7300,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07_AVR,POE\DPTagVar\DPTagVar.STB,,326,0,写,:=,REAL,%MD3.7300,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,,
B01_07_AVR,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,%MD3.7300,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07_BF,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,BOOL,%MX3.8680.4,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07_BF,POE\DPTagVar\DPTagVar.STB,,325,0,读,,BOOL,%MX3.8680.4,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,,
B01_07_BF,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,%MX3.8680.4,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07_CST,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,WORD,%MW3.8328,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07_CST,POE\DPTagVar\DPTagVar.STB,,326,0,写,:=,WORD,%MW3.8328,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,,
B01_07_CST,POE\DPTagVar\DPTagVarV.VB,,,,,,WORD,%MW3.8328,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07_FAI,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,REAL,%MD3.7296,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07_FAI,POE\DPTagVar\DPTagVar.STB,,325,0,读,,REAL,%MD3.7296,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,,
B01_07_FAI,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,%MD3.7296,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07_MS,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,BOOL,%MX3.8680.6,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07_MS,POE\DPTagVar\DPTagVar.STB,,326,0,写,:=,BOOL,%MX3.8680.6,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,,
B01_07_MS,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,%MX3.8680.6,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07_Q,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,BOOL,%MX3.8680.5,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07_Q,POE\DPTagVar\DPTagVar.STB,,326,0,写,:=,BOOL,%MX3.8680.5,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,,
B01_07_Q,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,%MX3.8680.5,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07_QTYP,C\M014UC\R\M014UC\Global_Variables.VB,,,,,,BYTE,%MB3.8572,,VAR_GLOBAL,DEFINITION,M014UC.M014UC,,
B01_07_QTYP,POE\DPTagVar\DPTagVar.STB,,326,0,写,:=,BYTE,%MB3.8572,,VAR_GLOBAL,GLOBAL,M014UC.M014UC,,
