BBB10_AC220V_EII_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,10#补偿棒应急AC220V II段供电状态,
BBB10_DC110V_EII_COM,POE\C01\BK_COM2.GB,IN,279,98,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,10#补偿棒应急DC110V II段供电状态,
BBB10_DC110V_EII_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,10#补偿棒应急DC110V II段供电状态,
BBB10_DJ_COM,POE\C01\BK_COM2.GB,IN,227,29,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,10#补偿棒到底部终端位置,
BBB10_DJ_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,10#补偿棒到底部终端位置,
BBB10_WD_P_COM,POE\C01\BK_COM2.GB,IN,383,72,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,10#补偿棒电位器供电状态,
BBB10_WD_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,10#补偿棒电位器供电状态,
BBB10_ZKF_P_COM,POE\C01\BK_COM2.GB,IN,380,31,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,10#补偿棒自整角机供电状态,
BBB10_ZKF_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,10#补偿棒自整角机供电状态,
BBB1_AC220V_EI_COM,POE\C01\BK_COM2.GB,IN,283,100,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,1#补偿棒应急AC220V I段供电状态,
BBB1_AC220V_EI_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,1#补偿棒应急AC220V I段供电状态,
BBB1_DC110V_EI_COM,POE\C01\BK_COM2.GB,IN,283,61,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,1#补偿棒应急DC110V I段供电状态,
BBB1_DC110V_EI_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,1#补偿棒应急DC110V I段供电状态,
BBB1_DJ_COM,POE\C01\BK_COM2.GB,IN,191,30,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,1#补偿棒到底部终端位置,
BBB1_DJ_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,1#补偿棒到底部终端位置,
BBB1_WD_P_COM,POE\C01\BK_COM2.GB,IN,347,73,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,1#补偿棒电位器供电状态,
BBB1_WD_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,1#补偿棒电位器供电状态,
BBB1_ZKF_P_COM,POE\C01\BK_COM2.GB,IN,344,32,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,1#补偿棒自整角机供电状态,
BBB1_ZKF_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,1#补偿棒自整角机供电状态,
BBB2_AC220V_EII_COM,POE\C01\BK_COM2.GB,IN,287,98,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,2#补偿棒应急AC220V II段供电状态,
BBB2_AC220V_EII_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,2#补偿棒应急AC220V II段供电状态,
BBB2_DC110V_EII_COM,POE\C01\BK_COM2.GB,IN,287,59,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,2#补偿棒应急DC111V II段供电状态,
BBB2_DC110V_EII_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,2#补偿棒应急DC111V II段供电状态,
BBB2_DJ_COM,POE\C01\BK_COM2.GB,IN,195,30,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,2#补偿棒到底部终端位置,
BBB2_DJ_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,2#补偿棒到底部终端位置,
BBB2_WD_P_COM,POE\C01\BK_COM2.GB,IN,351,73,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,2#补偿棒电位器供电状态,
BBB2_WD_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,2#补偿棒电位器供电状态,
BBB2_ZKF_P_COM,POE\C01\BK_COM2.GB,IN,348,32,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,2#补偿棒自整角机供电状态,
BBB2_ZKF_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,2#补偿棒自整角机供电状态,
BBB3_AC220V_EI_COM,POE\C01\BK_COM2.GB,IN,291,100,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,3#补偿棒应急AC220V I段供电状态,
BBB3_AC220V_EI_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,3#补偿棒应急AC220V I段供电状态,
BBB3_DC110V_EI_COM,POE\C01\BK_COM2.GB,IN,291,61,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,3#补偿棒应急DC110V I段供电状态,
BBB3_DC110V_EI_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,3#补偿棒应急DC110V I段供电状态,
BBB3_DJ_COM,POE\C01\BK_COM2.GB,IN,199,30,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,3#补偿棒到底部终端位置,
BBB3_DJ_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,3#补偿棒到底部终端位置,
BBB3_WD_P_COM,POE\C01\BK_COM2.GB,IN,355,73,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,3#补偿棒电位器供电状态,
BBB3_WD_P_COM,POE\C01\C01V.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,3#补偿棒电位器供电状态,
BBB3_ZKF_P_COM,POE\C01\BK_COM2.GB,IN,352,32,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,3#补偿棒自整角机供电状态,
