B01_06_AVI.QTYP,POE\DPTagVar\DPTagVar.STB,,320,0,读,,,,,VAR,LOCAL,,,
B01_06_AVR,POE\DPTagVar\DPTagVar.STB,,320,0,写,:=,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_06_AVR,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B01_06_BF,POE\DPTagVar\DPTagVar.STB,,319,0,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_06_BF,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B01_06_CST,POE\DPTagVar\DPTagVar.STB,,320,0,写,:=,WORD,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_06_CST,POE\DPTagVar\DPTagVarV.VB,,,,,,WORD,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B01_06_FAI,POE\DPTagVar\DPTagVar.STB,,319,0,读,,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_06_FAI,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B01_06_MS,POE\DPTagVar\DPTagVar.STB,,320,0,写,:=,BOOL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_06_MS,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B01_06_Q,POE\DPTagVar\DPTagVar.STB,,320,0,写,:=,BOOL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_06_Q,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B01_06_QTYP,POE\DPTagVar\DPTagVar.STB,,320,0,写,:=,BYTE,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_06_QTYP,POE\DPTagVar\DPTagVarV.VB,,,,,,BYTE,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B01_07,POE\DPTagVar\DPTagVar.STB,,325,0,读,,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_07,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B01_07_AV,POE\DPTagVar\DPTagVar.STB,,326,0,写,:=,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_07_AV,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B01_07_AVI,POE\DPTagVar\DPTagVar.STB,,325,0,调用,,,,,VAR,FB,,,
B01_07_AVI,POE\DPTagVar\DPTagVarV.VB,,,,,,AVI,,,VAR,DEFINITION,,,
B01_07_AVI.AV,POE\DPTagVar\DPTagVar.STB,,326,0,读,,,,,VAR,LOCAL,,,
B01_07_AVI.AVR,POE\DPTagVar\DPTagVar.STB,,326,0,读,,,,,VAR,LOCAL,,,
B01_07_AVI.CST,POE\DPTagVar\DPTagVar.STB,,326,0,读,,,,,VAR,LOCAL,,,
B01_07_AVI.CSTA,POE\DPTagVar\MODIO.STB,,109,0,写,:=,,,,VAR,LOCAL,,,
B01_07_AVI.MS,POE\DPTagVar\DPTagVar.STB,,326,0,读,,,,,VAR,LOCAL,,,
B01_07_AVI.MST,POE\DPTagVar\MODIO.STB,,109,0,写,:=,,,,VAR,LOCAL,,,
B01_07_AVI.Q,POE\DPTagVar\DPTagVar.STB,,326,0,读,,,,,VAR,LOCAL,,,
B01_07_AVI.QTYP,POE\DPTagVar\DPTagVar.STB,,326,0,读,,,,,VAR,LOCAL,,,
B01_07_AVR,POE\DPTagVar\DPTagVar.STB,,326,0,写,:=,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_07_AVR,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B01_07_BF,POE\DPTagVar\DPTagVar.STB,,325,0,读,,BOOL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_07_BF,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B01_07_CST,POE\DPTagVar\DPTagVar.STB,,326,0,写,:=,WORD,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_07_CST,POE\DPTagVar\DPTagVarV.VB,,,,,,WORD,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B01_07_FAI,POE\DPTagVar\DPTagVar.STB,,325,0,读,,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_07_FAI,POE\DPTagVar\DPTagVarV.VB,,,,,,REAL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B01_07_MS,POE\DPTagVar\DPTagVar.STB,,326,0,写,:=,BOOL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_07_MS,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B01_07_Q,POE\DPTagVar\DPTagVar.STB,,326,0,写,:=,BOOL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_07_Q,POE\DPTagVar\DPTagVarV.VB,,,,,,BOOL,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B01_07_QTYP,POE\DPTagVar\DPTagVar.STB,,326,0,写,:=,BYTE,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
B01_07_QTYP,POE\DPTagVar\DPTagVarV.VB,,,,,,BYTE,,,VAR_EXTERNAL,DEFINITION,,FUNCTION BLOCK VAR,
B02_03,POE\DPTagVar\DPTagVar.STB,,298,0,读,,REAL,,,VAR_EXTERNAL,GLOBAL,,FUNCTION BLOCK VAR,
